,category_name,image_count,image_annotation_count,category_korean_name,
0,bltsaendeuwichi,2786,3512,blt샌드위치 json,
1,galaetteog,360,405,가래떡 json,
2,galibi,1040,1421,가리비 json,
3,gaji,8118,8975,가지 json,
4,gaji,2044,2735,가지구이 json,
5,gacheudong,2182,2197,가츠동 json,
6,ganjang,5276,5572,간장 json,
7,galbigu-i,7334,7476,갈비구이 json,
8,galbijjim,1584,1684,갈비찜 json,
9,galbitang,882,886,갈비탕 json,
10,gam,1863,3027,감 json,
11,tangerine_juice,2127,2127,감귤주스 json,
12,gamjagu-i,5773,7664,감자구이 json,
13,gamjageulatang,2408,2726,감자그라탕 json,
14,gamjabokk-eum,210,210,감자볶음 json,
15,gamjasaelleodeu,8204,8719,감자샐러드 json,
16,gamjaseupeu,3190,3332,감자스프 json,
17,gamjachib,9454,9944,감자칩 json,
18,gamjatwigim,3912,4305,감자튀김 json,
19,geobongpodo,1368,1611,거봉포도 json,
20,geonjadu,5359,7246,건자두 json,
21,geonkeulaenbeli,2268,2510,건크랜베리 json,
22,geonpodo,7553,9936,건포도 json,
23,gemas-sal,3340,4150,게맛살 json,
24,gejang,2258,2351,게장 json,
25,mustard_sauce,3247,3306,겨자소스 json,
26,gyeongdan,6208,7565,경단 json,
27,gogalbi,902,966,고갈비 json,
28,goguma,6979,7611,고구마 json,
29,mackerel,1464,1587,고등어 json,
30,godeung-eogu-i,4700,5414,고등어구이 json,
31,goloke,4862,7570,고로케 json,
32,goleugonjolla,10380,13052,고르곤졸라 json,
33,goleugonjollapija,1778,1862,고르곤졸라피자 json,
34,gochu,6838,11353,고추 json,
35,gochujang,1958,2172,고추장 json,
36,gochujang-ajji,1026,1029,고추장아찌 json,
37,gochusgalu,7142,8634,고춧가루 json,
38,goldkiwi,952,1435,골드키위 json,
39,gobchangjeongol,144,145,곱창전골 json,
40,gojgam,2838,3791,곶감 json,
41,gwailjuseu,2604,3287,과일주스 json,
42,gwailchaesosaelleodeu,8144,8354,과일채소샐러드 json,
43,gochusgalu,898,1030,과일통조림 json,
44,guava,5840,7136,구아바 json,
45,gugsu,3180,3310,국수 json,
46,gughwacha,2752,3129,국화차 json,
47,gungoguma,3106,3645,군고구마 json,
48,gunmandu,965,2135,군만두 json,
49,gunbam,5478,6486,군밤 json,
50,gyul,10176,16615,귤 json,
51,geulatang,6599,7881,그라탕 json,
52,geulin-ollibeu,3064,4381,그린올리브 json,
53,gim,4624,5449,김 json,
54,gimgu-i,4434,4678,김구이 json,
55,gimmakki,5866,6853,김마끼 json,
56,gimbab,7360,8043,김밥 json,
57,gimchigug,1530,1530,김치국 json,
58,gimchibokk-eumbab,5432,5504,김치볶음밥 json,
59,gimchijjigae,3104,3110,김치찌개 json,
60,kkaleubonala,9179,9335,까르보나라 json,
61,kkamangbeleuchijeu,7017,7220,까망베르치즈 json,
62,kkanpung-gi,1074,1074,깐풍기 json,
63,kkeom,5244,7468,껌 json,
64,cockle,7828,8720,꼬막 json,
65,kkul,5658,6084,꿀 json,
66,nagasakkijjamppong,408,408,나가사끼짬뽕 json,
67,nasigolaeng,1632,1650,나시고랭 json,
68,nagjibokk-eum,1266,1349,낙지볶음 json,
69,natto,1320,1320,낫또 json,
70,naengmyeon,6548,6961,냉면 json,
71,naengchaejogbal,312,321,냉채족발 json,
72,nolangpapeulika,6228,6914,노랑파프리카 json,
73,nogsaegpimang,5510,7093,녹색피망 json,
74,nogjeub,1946,2533,녹즙 json,
75,nutella,2753,2793,누텔라 json,
76,neutalibeoseos,1360,1655,느타리버섯 json,
77,kelp,3680,3865,다시마 json,
78,dakeuchokollis,17850,20610,다크초콜릿 json,
79,dangam,4480,5373,단감 json,
80,danhobag,4008,4982,단호박 json,
