ko_name,name,serving_size,kcal,tan,dan,gi,na
갈비찜,galbijjim,1 인분 (200 g),597 kcal,15.44g,34.53g,43.59g,1140mg
감자볶음,gamjabokk-eum,1 인분 (90 g),107 kcal,13.72g,1.46g,5.42g,196mg
게장,gejang,1 인분 (200 g),209 kcal,8.58g,34.34g,3.47g,1208mg
고등어구이,godeung-eogu-i,1 인분 (200 g),379 kcal,0.7g,35.18g,25.19g,822mg
곱창전골,gobchangjeongol,1 인분 (200 g),332 kcal,20.96g,14.86g,23.54g,469mg
군만두,gunmandu,1 개,77 kcal,7.5g,4.55g,2.99g,176mg
귤,gyul,1 개,35 kcal,8.89g,0.63g,0.11g,1mg
김밥,gimbab,1 개,31 kcal,6.71g,0.57g,0.06g,25mg
김치볶음밥,gimchibokk-eumbab,1 인분 (300 g),446 kcal,75.09g,8.75g,12.37g,844mg
김치찌개,gimchijjigae,1 인분 (200 g),121 kcal,6.47g,7.51g,7.57g,442mg
달걀말이,dalgyalmal-i,1 인분 (150 g),238 kcal,5.84g,14.28g,17.24g,365mg
달걀후라이,dalgyalhulai,1 개,89 kcal,0.43g,6.24g,6.76g,238mg
닭가슴살샐러드,dalg-gaseumsalsaelleodeu,100 g,109 kcal,0g,22.98g,1.23g,65mg
닭강정,dalg-gangjeong,1 인분 (250 g),663 kcal,26.32g,34.51g,46.51g,493mg
돼지갈비찜,steamed_pork_ribs,1 인분 (200 g),566 kcal,12.72g,38.79g,39.27g,1183mg
돼지고기고추장불고기,dwaejigogigochujangbulgogi,1 소접시,192 kcal,9.19g,17.55g,9.22g,537mg
돼지고기구이,dwaejigogigu-i,1 얇은 슬라이스,52 kcal,0g,5.67 g,3.06g,46mg
된장찌개,doenjangjjigae,1 인분 (200 g),171 kcal,16.77g,15.01g,5.6g,682mg
떡갈비,tteoggalbi,1 인분 (200 g),416 kcal,4.05g,32.98g,29.19g,579mg
떡볶이,tteogbokk-i,1 인분 (200 g),280 kcal,60.42g,6.97g,2.91g,249mg
똠양꿍,ttom-yangkkung,1 인분 (300 g),196 kcal,17.83g,24.44g,2.78g,560mg
마카롱,makalong,1 개,65 kcal,10.43g,1.06g,2.41g,7mg
만두국,mandugug,1 인분 (400 g),418 kcal,29.95g,42.12g,21.79g,2350mg
메쉬드포테이토,maeswideupoteito,100 g,100 kcal,15.00g,2.50g,3.00g,1mg
모듬튀김,modeumtwigim,1 개,57 kcal,7.54g,0.82g,1.46g,60mg
미역국,miyeoggug,1 컵,83 kcal,5.59g,7.87g,3.73g,1134mg
미트볼,meatball,1 인분 (108 g),193 kcal,7.75g,14.75g,11.04g,329mg
바게트빵,bageteuppang,1 중간 크기 슬라이스,175kcal,33.22g,5.63g,1.92g,390mg
바나나,banana,1 개 중형 (길이 18 cm - 20 cm),105 kcal,26.95g,1.29g,0.39g,1mg
밥,bab,1 공기,300 kcal,65.15g,5.71g,1g,5mg
배추김치,baechugimchi,1 인분 (38 g),8 kcal,1.58g,0.66g,0.12g,245mg
보쌈,bossam,1 인분 (200 g),581 kcal,2.86g,27.85g,50.15g,543mg
볶음면,bokk-eummyeon,1 인분 (196 g),340 kcal,69.00g,7.00g,4.30g,970mg
볶음밥,bokk-eumbab,1 컵,333 kcal,41.7g,12.47g,12.34g,822mg
부대찌개,budaejjigae,1 인분 (400 g),626 kcal,41.11g,27.7g,38.55g,2913mg
부침개,korean_style_pancake,1 소접시,162 kcal,20.07g,7.6g,5.8g,262mg
북어국,bug-eogug,1 인분 (250 g),110 kcal,3.28g,12.81g,4.9g,1317mg
비빔냉면,bibimnaengmyeon,1 인분 (400 g),463 kcal,75.92g,17.37g,9.34g,1583mg
